"Series title","1/1/2007","2/1/2007","3/1/2007","4/1/2007","5/1/2007","6/1/2007","7/1/2007","8/1/2007","9/1/2007","10/1/2007","11/1/2007","12/1/2007","1/1/2008","2/1/2008","3/1/2008","4/1/2008","5/1/2008","6/1/2008","7/1/2008","8/1/2008","9/1/2008","10/1/2008","11/1/2008","12/1/2008","1/1/2009","2/1/2009","3/1/2009","4/1/2009","5/1/2009","6/1/2009","7/1/2009","8/1/2009","9/1/2009","10/1/2009","11/1/2009","12/1/2009","1/1/2010","2/1/2010","3/1/2010","4/1/2010","5/1/2010","6/1/2010","7/1/2010","8/1/2010","9/1/2010","10/1/2010","11/1/2010","12/1/2010","1/1/2011","2/1/2011","3/1/2011","4/1/2011","5/1/2011","6/1/2011","7/1/2011","8/1/2011","9/1/2011","10/1/2011","11/1/2011","12/1/2011","1/1/2012","2/1/2012","3/1/2012","4/1/2012","5/1/2012","6/1/2012","7/1/2012","8/1/2012","9/1/2012","10/1/2012","11/1/2012","12/1/2012","1/1/2013","2/1/2013","3/1/2013","4/1/2013","5/1/2013","6/1/2013","7/1/2013","8/1/2013","9/1/2013","10/1/2013","11/1/2013","12/1/2013","1/1/2014","2/1/2014","3/1/2014","4/1/2014","5/1/2014","6/1/2014","7/1/2014","8/1/2014","9/1/2014","10/1/2014","11/1/2014","12/1/2014","1/1/2015","2/1/2015","3/1/2015","4/1/2015","5/1/2015","6/1/2015","7/1/2015","8/1/2015","9/1/2015","10/1/2015","11/1/2015","12/1/2015","1/1/2016","2/1/2016","3/1/2016","4/1/2016","5/1/2016","6/1/2016","7/1/2016","8/1/2016","9/1/2016","10/1/2016","11/1/2016","12/1/2016","1/1/2017","2/1/2017","3/1/2017","4/1/2017","5/1/2017","6/1/2017","7/1/2017","8/1/2017","9/1/2017","10/1/2017","11/1/2017","12/1/2017","1/1/2018","2/1/2018","3/1/2018","4/1/2018","5/1/2018","6/1/2018","7/1/2018","8/1/2018","9/1/2018","10/1/2018","11/1/2018","12/1/2018","1/1/2019","2/1/2019","3/1/2019","4/1/2019","5/1/2019","6/1/2019","7/1/2019","8/1/2019","9/1/2019","10/1/2019","11/1/2019","12/1/2019","1/1/2020","2/1/2020","3/1/2020","4/1/2020","5/1/2020","6/1/2020","7/1/2020","8/1/2020","9/1/2020","10/1/2020","11/1/2020"
" Dorchester County","6.5","6.4","5.4","5.9","5.7","5.8","5.8","5.7","5.4","5.2","5.4","5.9","6.8","6.7","6.3","6","5.8","6.1","6","6.4","6.4","6.7","8.2","9.2","10.6","10.4","10.5","9.7","10.6","10.1","10.8","10.8","10.4","10.6","11.3","11.9","12.8","13.5","13","11.5","11.1","11.1","10.7","10.5","10.3","10.2","10.7","11.4","12.5","12.6","11.9","11","10.8","10.7","10.6","10.6","10.5","10.5","10.5","11.3","12.6","12.3","11.3","10.7","10.6","10.3","10.5","10.3","10","10.3","10.3","11.1","12.1","11.5","10.6","10","9.5","9.5","9.3","9","8.7","8.9","9","9.2","10","9.6","9","8.3","8.2","8.1","8.1","7.8","7.3","7.5","8.2","8.4","9.6","9","8.4","7.2","7","6.7","6.5","6.3","5.9","6.1","6.5","6.7","7.4","7.3","6.9","6","5.7","5.8","5.9","6.2","5.7","5.6","6","6.4","7.3","7","6.5","5.6","5.3","5.6","5.4","5.8","5.1","5.2","5.5","6","6.6","6.5","5.8","5","4.8","5.2","5.1","5.1","4.4","4.5","4.4","5","5.8","5.8","5.3","4.6","4.4","5.2","4.7","4.6","4","4.3","4.2","4.2","5.1","4.9","5.2","10.2","9.5","8.3","7.7","7","7.4","7.4","6.6"
" Frederick County","3.4","3.4","2.9","2.6","2.8","3.1","3","2.7","2.7","2.6","2.5","2.5","3.1","3.1","3","2.8","3.3","3.7","3.7","3.8","3.8","4.1","4.3","4.7","5.8","6.3","6.2","5.9","6.3","6.6","6.5","6.2","6.3","6.5","6.3","6.5","7.5","7.6","7.3","6.7","6.8","7","7","6.8","6.6","6.5","6.6","6.4","6.9","6.8","6.5","6.2","6.4","6.8","6.5","6.5","6.4","6.2","5.9","5.9","6.5","6.6","6.3","5.8","6.1","6.5","6.3","6.1","5.8","5.8","5.7","5.7","6.4","6.3","6","5.5","5.8","6.2","5.8","5.6","5.4","5.7","5.3","4.9","5.5","5.6","5.3","4.6","5","5.3","5.3","5.1","4.8","4.8","4.7","4.5","5.2","5","4.7","4.2","4.6","4.8","4.6","4.3","4.2","4.2","4","3.7","4.3","4.3","4","3.6","3.7","4.2","4.1","4","3.9","3.9","3.6","3.5","4.3","4.1","3.7","3.3","3.5","4","4","3.7","3.6","3.7","3.6","3.4","4.1","4","3.6","3.2","3.4","3.9","3.7","3.4","3.3","3.3","3.2","3.1","3.8","3.6","3.3","2.8","3.1","3.5","3.5","3.2","2.9","2.9","2.8","2.6","3.2","3.2","3","9.5","9.2","7.7","6.9","6.1","6.1","6.2","5.4"
" Garrett County","5.9","6.2","5.1","4.3","3.8","4.1","4.2","3.8","3.6","3.4","3.4","4.6","5.2","5.2","5","3.9","4","4.3","4.6","4.5","4.2","4.5","5.5","7.3","8.9","8.7","8.3","7.3","7","7.3","7.6","7.1","6.9","7.1","7.8","9.1","11","11.5","10.6","8.7","8.3","8.2","8.4","8","7.4","7.4","8.1","8.8","10.5","10.4","9.3","8.2","7.7","8.1","8.1","7.9","7.3","7.4","7.4","8.5","10.1","10","9.1","7.7","8","8.1","7.9","7.4","6.8","7.3","8.4","8.5","10.7","10.3","9.5","8","7.7","7.9","7.5","7.1","6.7","6.6","6.9","7.6","9.1","9.2","8.5","6.8","6.5","6.7","6.7","6.5","6","5.8","6.5","7.4","8.7","8.4","7.8","5.7","6","6","5.8","5.4","5","4.9","5.6","6.4","7.4","7.6","6.8","5.3","5","5.5","5.2","5.2","4.7","4.6","5","5.9","7.4","7.4","6.8","4.9","4.5","4.9","4.6","4.6","4.3","4.3","4.5","5.4","6.5","6.4","5.7","5.1","4.3","4.6","4.5","4.1","3.8","3.7","3.7","4.8","5.6","5.7","5","3.8","3.7","4.4","4.5","4.3","3.7","3.8","4.2","4.5","5.3","5.4","5.3","12.4","10.4","7.7","7","5.8","5.8","5.7","5.4"
" Harford County","3.8","3.8","3.3","3","3.1","3.5","3.7","3.5","3.2","3.1","2.9","3","3.5","3.4","3.4","3.2","3.7","4.1","4.3","4.4","4.2","4.5","4.9","5.4","6.6","7.1","7.1","6.7","7.2","7.5","7.5","7.4","7","7.1","7.1","7.3","8.3","8.6","8.3","7.5","7.6","7.8","8","7.9","7.5","7.2","7.4","7.2","7.8","7.8","7.3","6.9","7.1","7.5","7.5","7.4","7.1","6.9","6.6","6.6","7.3","7.3","6.9","6.5","6.8","7.3","7.4","7.2","6.7","6.7","6.5","6.6","7.4","7.2","6.8","6.3","6.5","7","6.8","6.5","6.1","6.1","5.9","5.5","6.2","6.3","6","5.3","5.5","5.9","6.1","5.9","5.3","5.3","5.2","4.9","5.7","5.5","5.3","4.7","5","5.2","5.2","4.9","4.5","4.5","4.3","4.1","4.7","4.7","4.4","3.9","3.9","4.5","4.5","4.4","4.1","4.1","3.9","3.8","4.5","4.4","4.1","3.6","3.7","4.3","4.2","4.2","3.7","3.7","3.7","3.5","4.2","4.2","3.8","3.4","3.5","3.9","4","3.8","3.3","3.3","3.1","3.1","3.8","3.8","3.5","3","3.2","3.6","3.9","3.6","3.1","3.1","2.9","2.7","3.3","3.4","3.3","10","9.1","7.3","6.8","5.9","5.8","5.7","5"
" Howard County","2.8","2.7","2.4","2.2","2.5","2.9","2.8","2.6","2.5","2.5","2.2","2.2","2.5","2.4","2.4","2.3","2.8","3.3","3.4","3.4","3.4","3.5","3.6","3.8","4.5","4.9","4.8","4.7","5.2","5.6","5.5","5.4","5.4","5.5","5.3","5.3","6","5.9","5.8","5.4","5.5","5.8","5.9","5.7","5.5","5.4","5.4","5.1","5.4","5.2","5.1","4.9","5.2","5.6","5.5","5.5","5.3","5.1","4.8","4.7","5.1","5.1","5","4.7","5","5.5","5.4","5.3","4.9","4.9","4.7","4.7","5.1","5","4.9","4.6","4.9","5.4","5.1","4.9","4.6","4.8","4.4","4.1","4.5","4.5","4.4","3.9","4.3","4.7","4.8","4.6","4.2","4.2","4","3.7","4.2","4","3.9","3.6","4","4.2","4.1","3.8","3.7","3.6","3.4","3.1","3.5","3.4","3.3","3","3.1","3.6","3.7","3.4","3.4","3.4","3.1","2.9","3.4","3.4","3.1","2.9","3.1","3.5","3.5","3.2","3.1","3.2","3.2","2.8","3.4","3.3","3.1","2.7","2.9","3.4","3.3","3","2.8","2.9","2.7","2.6","3.3","3","2.9","2.4","2.7","3.1","3.1","2.9","2.5","2.5","2.4","2.2","2.6","2.7","2.6","8.1","7.9","6.9","6.3","5.5","5.5","5.7","4.9"
" Kent County","4.9","4.6","3.8","3.1","3.1","3.5","3.5","3.3","3.2","3.2","2.9","3","4.8","4.3","4.4","3.8","4.1","4.5","4.8","4.9","4.9","5.2","5.3","5.9","8.3","8.4","7.9","7","6.9","7.2","7.2","7.1","7.2","7.6","7.8","8.6","10.5","10.8","10","8.7","8.2","8.6","8.8","8.4","7.8","7.8","8.3","8.1","10","9.4","8.2","7.8","7.8","8","7.7","7.8","7.4","7.6","7.4","7.8","9.8","9.3","8.2","7.4","7.3","7.4","7.2","7.1","6.6","7","7.1","7.3","9.1","8.8","7.9","7","7.1","7.2","6.8","6.7","6.3","6.3","6.4","6.6","8.5","8.5","7.2","6.1","6.1","6.2","6.2","6","5.4","5.4","5.8","6","7.5","6.8","6","5.1","5.1","5.1","5","4.8","4.5","4.5","4.8","5","6.6","6.4","5.1","4.1","4.1","4.6","4.7","4.8","4.5","4.6","4.6","4.6","6.7","5.8","4.6","3.7","4","4.5","4.5","4.5","3.9","3.9","4.3","4.4","6.2","6","4.8","3.8","3.8","4.4","4.2","3.9","3.6","3.6","3.7","4","5.6","5.5","4.4","3.6","3.3","4.1","3.9","3.7","3.4","3.4","3.4","3.6","5.2","4.9","4.3","9.5","8.5","8.1","7.7","6.3","7.1","6.4","6"
" Montgomery County","3","2.8","2.5","2.3","2.6","3","2.9","2.6","2.6","2.5","2.4","2.3","2.6","2.6","2.5","2.4","2.9","3.4","3.4","3.4","3.4","3.7","3.7","3.9","4.6","5.1","5","4.8","5.3","5.8","5.6","5.4","5.6","5.7","5.5","5.5","6","5.9","5.9","5.4","5.5","5.8","5.7","5.5","5.5","5.4","5.4","5.1","5.5","5.3","5.2","5","5.3","5.7","5.4","5.4","5.4","5.2","4.9","4.9","5.3","5.4","5.2","4.9","5.2","5.6","5.4","5.3","5.1","5.1","4.9","4.9","5.3","5.2","5","4.7","5.1","5.5","5.1","4.9","4.8","5","4.5","4.2","4.6","4.6","4.6","4","4.4","4.7","4.7","4.5","4.3","4.2","4.1","3.8","4.3","4.1","4","3.6","4.1","4.3","4","3.8","3.8","3.8","3.6","3.2","3.7","3.6","3.4","3.1","3.3","3.8","3.7","3.5","3.5","3.5","3.3","3","3.6","3.6","3.3","3","3.3","3.7","3.6","3.4","3.3","3.4","3.4","3","3.6","3.5","3.3","2.9","3.1","3.6","3.4","3","3","3","2.9","2.8","3.5","3.3","3.1","2.6","2.9","3.3","3.2","2.9","2.7","2.7","2.6","2.4","2.8","2.9","2.8","8.4","9","8.2","7.7","6.9","7","7.4","6.5"
" Prince George's County","4.2","3.7","3.5","3.3","3.5","3.9","3.9","3.6","3.6","3.4","3.3","3.2","3.6","3.5","3.4","3.3","3.9","4.5","4.6","4.7","4.8","5","5.1","5.4","6.3","6.7","6.5","6.3","6.8","7.2","7.2","7.2","7.3","7.3","7.2","7.2","7.7","7.7","7.8","7.1","7.2","7.6","7.7","7.7","7.5","7.3","7.4","7.1","7.7","7.6","7.3","7.1","7.3","7.9","7.7","7.7","7.6","7.4","7.2","7.1","7.6","7.6","7.2","6.8","7.2","7.7","7.7","7.4","7.1","7.1","7","7","7.5","7.2","6.9","6.5","6.8","7.3","7.1","6.9","6.6","7.5","6.5","6.1","6.6","6.6","6.3","5.7","6","6.3","6.4","6.3","5.8","5.7","5.6","5.3","5.9","5.7","5.4","4.9","5.3","5.5","5.5","5.3","5","5","4.8","4.6","4.8","4.7","4.5","4.2","4.3","4.7","4.7","4.6","4.4","4.4","4.2","4.1","4.6","4.5","4.2","3.9","4","4.5","4.4","4.4","4.2","4.2","4.2","4.1","4.6","4.5","4.2","3.8","3.9","4.5","4.3","4.2","3.9","3.9","3.7","3.8","4.7","4.1","3.8","3.4","3.6","4","3.9","3.9","3.5","3.5","3.4","3.2","3.6","3.6","3.7","9.7","10.9","10.1","9.8","9.2","9.6","10.2","9"
" Queen Anne's County","3.7","3.7","3.3","2.9","2.9","3.2","3.3","3","2.7","2.8","2.8","2.8","3.6","3.6","3.5","3.1","3.5","4","4.1","4.1","4","4.4","4.8","5.3","6.8","6.9","7","6.3","6.4","6.6","6.5","6.4","6.6","6.6","6.9","7","8.2","8.5","8.2","7.2","7","7.2","7.4","7.2","6.7","6.5","6.8","6.7","7.6","7.5","7","6.4","6.6","6.9","6.9","6.8","6.5","6.4","6.4","6.5","7.2","7.1","6.7","6.1","6.2","6.6","6.4","6.3","5.8","5.8","5.8","5.9","6.8","6.5","6.2","5.6","6","6.2","5.9","5.8","5.3","5.4","5.3","5","5.8","5.8","5.6","4.7","4.9","5.2","5.3","5.1","4.6","4.6","4.8","4.6","5.6","5.3","5","4.2","4.4","4.6","4.6","4.3","4.1","4.1","4.1","3.8","4.6","4.6","4.2","3.5","3.6","4","4","3.9","3.7","3.7","3.7","3.6","4.7","4.4","3.8","3.3","3.4","4","3.9","3.7","3.4","3.4","3.6","3.3","4.2","4","3.6","3.1","3.2","3.7","3.6","3.2","3","2.9","3","2.9","3.7","3.6","3.4","2.7","2.9","3.3","3.4","3.2","2.8","2.7","2.7","2.6","3.3","3.3","3","10","8.9","7","6.2","5.3","5.3","5.3","4.7"
" Somerset County","6.6","6.5","5.6","5","5","5.4","5.3","5.1","5.1","4.8","4.8","4.8","6","5.9","5.5","5.1","5.5","6.2","6.6","6.6","6.7","6.9","7.4","7.6","9.6","9.8","9.4","8.6","8.7","9.5","9.3","9.6","9.8","9.8","9.7","9.9","13.9","13.7","13.1","11.7","11.3","11.5","11.3","11","10.8","11.3","11.9","11.9","14","13.6","12.5","11.9","11.5","11.5","11","10.8","10.5","10.9","11","11.5","13.5","13.5","12.4","11.3","10.8","10.6","10.1","10.1","10","10.6","11.3","11.7","13.5","12.8","11.8","10.6","10.2","10.4","9.8","9.6","9.2","10.1","10.5","10","11.6","11.4","10.4","9","9","9.1","9.1","8.8","8.2","8.5","9","9.3","11","10.2","9.4","7.9","7.8","7.8","7.9","7.4","6.7","7.3","7.8","8.1","9","8.9","8","6.7","6.4","6.8","7","6.9","6.5","6.9","7.1","7.6","9.4","8.6","7.3","6.4","6.1","6.5","6.4","6.7","6.1","6.5","7","7.3","9.2","8.5","7.6","6.6","6.3","7.3","6.7","6.7","6","6.2","6.3","6.8","7.8","7.2","6.5","5.6","5.3","6.4","6.2","6.2","5.3","5.4","5.5","5.6","6.8","6","5.9","11.2","10.5","9.2","8.6","7.9","8.6","8.5","7.9"
" St. Mary's County","3.4","3.2","2.9","2.6","2.8","3.5","3.4","3","2.7","2.7","2.5","2.5","2.9","2.9","2.9","2.7","3.3","4.1","4.1","4.1","3.8","4","4.1","4.3","5.3","5.6","5.3","5","5.4","5.9","5.9","5.8","5.6","5.8","5.7","5.8","7","6.9","6.8","6.2","6.3","6.6","7","6.8","6.3","6.2","6.2","6","6.6","6.4","6.1","5.9","6.2","6.8","6.8","6.8","6.4","6.1","5.7","5.7","6.3","6.3","6.2","5.8","6.2","6.9","6.8","6.5","5.9","6","5.8","5.8","6.4","6.3","6.1","5.6","6.1","6.6","6.5","6.2","5.7","5.8","5.3","4.9","5.7","5.7","5.5","4.9","5.3","5.7","6.1","5.8","5.1","5","4.9","4.6","5.4","5.2","5","4.4","4.8","5.2","5.4","5.1","4.5","4.6","4.4","4.1","4.7","4.5","4.3","3.9","4","4.9","4.8","4.5","4.1","4","3.8","3.6","4.4","4.3","3.9","3.5","3.7","4.6","4.6","4.4","3.7","3.9","4","3.7","4.5","4.3","4","3.5","3.6","4.2","4.4","4.1","3.4","3.4","3.3","3.1","3.9","3.8","3.5","2.8","3.1","3.6","4","3.8","2.9","2.9","2.8","2.6","3.2","3.2","3.1","7","6.8","6","6.1","5.4","5.1","5.1","4.6"
" Talbot County","4.3","4.3","3.6","3.1","3.1","3.5","3.3","3.1","3","2.9","2.9","3.3","4","4","3.7","3.2","3.6","4","3.9","4","4.2","4.5","5","5.8","7.4","7.7","7.5","6.7","7.1","7.3","6.8","6.7","7","7.1","7.4","8.2","9.6","9.7","9.2","7.7","7.4","7.4","7.5","7.4","7.2","7.1","7.6","7.8","8.8","8.7","8.1","7.2","7","7.3","6.9","7","7","7","7","7.5","8.5","8.5","7.9","6.9","6.9","6.9","6.9","6.8","6.5","6.6","6.8","7.2","8.2","7.9","7.3","6.4","6.4","6.5","6.1","5.8","5.6","5.6","5.7","5.5","6.6","6.5","6.2","5.2","5.3","5.4","5.1","5","4.8","4.9","5.2","5.4","6.5","6.2","5.7","4.6","4.8","4.7","4.4","4.3","4.3","4.3","4.6","4.6","5.2","5.1","4.7","3.6","3.7","4.1","4","3.9","3.9","4","4.2","4.2","5.3","4.9","4.3","3.4","3.7","4.1","3.8","3.9","3.6","3.7","4.1","3.9","4.8","4.7","4.3","3.4","3.5","3.9","3.8","3.5","3.2","3.2","3.3","3.5","4.6","4.5","4","3","3.2","3.6","3.6","3.2","2.8","2.8","2.9","2.9","3.8","3.9","3.7","10.1","8.8","7.1","6.5","5.4","5.3","5.9","5.2"
" Washington County","4.6","5.3","4.9","4.1","4.1","4.4","4.5","4.6","4.2","4","3.6","3.9","4.4","5","5","4.4","5","5.5","5.2","6","5.8","6.2","6.6","7.3","8.9","9.5","10.3","9.5","10","10.2","9.5","10","9.5","9.6","9.5","9.9","10.2","10.9","10.5","9.3","9.4","9.5","9.6","9.6","9.2","8.8","9.1","9.1","10","10.1","9.5","8.8","8.7","9.1","8.8","8.5","8.3","8","7.7","7.9","8.6","8.8","8.2","7.4","7.7","8","8","7.7","7.3","7.5","7.4","7.5","8.4","8.2","7.9","7.2","7.2","7.6","7.3","7","6.8","7","6.7","6.6","7.3","7.5","7.1","6.1","6.3","6.6","6.6","6.3","5.9","5.9","5.9","5.9","6.8","6.8","6.4","5.4","5.6","5.7","5.6","5.3","5","5","4.9","4.8","5.7","6","5.5","4.7","4.8","5.2","5.1","5.3","4.9","4.9","4.8","4.8","5.7","5.6","5.1","4.3","4.4","4.8","4.7","4.8","4.3","4.3","4.4","4.5","5.3","5.4","4.9","4.2","4.2","4.6","4.5","4.2","4","4","3.8","3.8","4.7","4.8","4.4","3.5","3.7","4.1","4.1","3.8","3.4","3.5","3.3","3.2","4","4.2","4","11.4","10.3","8.4","7.6","6.8","6.9","6.7","5.8"
" Wicomico County","5","4.8","4","3.6","3.5","3.9","3.8","3.5","3.4","3.5","3.7","3.9","4.8","4.6","4.5","4.1","4.3","4.8","4.8","5","5.2","5.9","6.7","7.2","8.8","8.8","8.8","7.8","7.9","8","7.7","7.9","7.8","8.3","9","9.4","11.5","11.8","10.9","9.6","9.1","9.1","9","8.9","8.8","9.2","9.8","9.9","11.4","11.1","10.1","9.5","9.3","9.4","9.1","9.2","9.2","9.6","10","10.2","11.2","11.1","10.3","9.2","8.9","8.9","8.6","8.4","8.4","9","9.4","9.8","10.9","10.5","9.7","8.6","8.2","8.3","7.8","7.5","7.5","8.1","8.8","8.6","9.7","9.5","8.7","7.5","7.3","7.3","7.3","6.9","6.6","7.1","7.6","7.7","8.9","8.6","7.7","6.4","6.3","6.4","6.4","5.9","5.6","6.1","6.6","6.9","7.5","7.4","6.6","5.7","5.4","5.8","5.9","5.8","5.7","6.2","6.4","6.8","7.8","7.5","6.5","5.5","5.1","5.2","5.2","5.1","4.9","5.3","5.9","6.5","7.2","6.9","5.9","5.1","4.7","5.1","4.9","4.7","4.5","4.8","5","5.4","6","5.8","5.1","4.4","4","4.6","4.5","4.4","4","4.1","4.4","4.5","5.2","5","4.8","13.1","11.6","8.6","7.4","6.6","6.9","7.4","6.9"
" Worcester County","10.2","9.6","7.9","6","4.6","3.8","3.6","3.3","3.5","4.7","7","8.4","10","9.6","8.7","6.9","5.1","4.5","4.3","4.4","4.9","7.3","10.9","13","16.5","15.4","14.6","11.1","8.9","7.4","7","6.8","7.3","9.8","14.3","16.3","17.9","18.7","17.1","13.5","11.5","10.4","10","9.8","9.8","11.2","14.9","16.1","18.4","18.4","16.2","13.9","12.1","11.2","10.6","10.4","10.5","11.9","15.1","16.5","17.8","17.3","15.5","12.7","11.2","10.2","9.9","9.6","9.5","11.2","14.6","16.3","18.4","17.3","15.2","12.6","10.7","9.9","9.3","8.9","9.1","10.5","14.4","15.1","17.2","16.3","14.3","11.7","9.5","8.7","8.2","7.9","7.7","9.6","13.2","14.5","16.5","15.9","13.9","10.1","8.5","7.8","7.4","7","6.7","8.3","11.8","13.4","14.5","13.7","12.2","9","7.2","6.6","6","6.2","6","7.2","10.7","12.7","14.5","13.1","11","8.5","6.6","6","5.5","5.6","5.3","6.5","9.8","12.7","13","12.1","10","8.2","6.5","6","5.4","5.3","4.9","6","8.8","11.7","11.8","10.9","9.5","7.8","5.7","5.3","5","4.9","4.6","5.4","8.5","9.5","10.9","9.3","9.4","21.6","18","11.2","9.2","8","8.3","8.9","9.7"
